TAZ;polygon_coords;centroid_coords;polygon_edge_ids;polygon_lane_ids;centroid_edge_id;centroid_lane_id
168;[(-122.47835347844419, 37.75041572318047), (-122.47942641436163, 37.75036817628295), (-122.47955744752795, 37.75223459719887), (-122.47968667525544, 37.7540982981031), (-122.47981775848204, 37.75596609094836), (-122.4787775782619, 37.75601240632625), (-122.47874474197324, 37.75601364108938), (-122.47857368750445, 37.75602132011013), (-122.47786005995899, 37.75605252891396), (-122.47768036095097, 37.75606035170959), (-122.47655377533847, 37.756110156449154), (-122.47642277421237, 37.7542423586411), (-122.47640254258484, 37.75393709883648), (-122.476291898342, 37.75237868321305), (-122.47616267669973, 37.75051223135557), (-122.47728400467777, 37.75046320054889), (-122.47835347844419, 37.75041572318047)];(-122.47799000881545, 37.75323918811583);['-89802444#2', '-465209329#1', '-89802445#3', '-27092233#1', '-401129013#4', '-89802445#1', '-89802445#2', '-47174887#2', '89802442#0', '-430952065', '-47174889#2', '-27092233#0', '-8917603#4'];['89802442#0_1', '-89802444#2_0', '-8917603#4_0', '-89802445#3_0', '-465209329#1_0', '-27092233#0_0', '-430952065_0', '89802442#0_2', '-89802445#2_0', '-89802445#1_0', '-47174887#2_0', '-401129013#4_0', '-47174889#2_0', '-27092233#1_0', '89802442#0_0'];938216873#1;938216873#1_0
169;[(-122.4752759585087, 37.75242387170326), (-122.47629189834213, 37.75237868321363), (-122.47640254258694, 37.75393709883534), (-122.47642277421218, 37.75424235864057), (-122.47655377533826, 37.756110156449736), (-122.47553605302846, 37.756155374547), (-122.474463012898, 37.75620220284083), (-122.47368372971016, 37.756236543708816), (-122.47271617402366, 37.75628158922005), (-122.47268060345345, 37.756179857432734), (-122.47251419934652, 37.7559718128307), (-122.47240942293398, 37.75586987234526), (-122.47233297584876, 37.755792171499756), (-122.47214391077091, 37.755642881219416), (-122.47194215836178, 37.75553706393853), (-122.47172643572446, 37.75542598915408), (-122.47146353225173, 37.75529716347741), (-122.47133851955853, 37.75521478378828), (-122.47126945142828, 37.75515413144472), (-122.47116764778197, 37.75509883403985), (-122.47101605998363, 37.754797143319934), (-122.4710483596149, 37.75451504331933), (-122.47101925077081, 37.75426555595325), (-122.47101623692296, 37.75421684649313), (-122.47103735977154, 37.75410043372636), (-122.47107954899245, 37.75399534318372), (-122.47113178599996, 37.753877726554045), (-122.47117120701873, 37.75373353675094), (-122.47119029879633, 37.75360548581471), (-122.4711873300111, 37.753493592549795), (-122.47117504343578, 37.75335645044469), (-122.47112287359565, 37.753215858829), (-122.4709080288504, 37.75261581000759), (-122.47200698401396, 37.752569955250806), (-122.47313350032034, 37.75251950366635), (-122.47420473812183, 37.75247203331684), (-122.47474034310675, 37.752447952992775), (-122.4752759585087, 37.75242387170326)];(-122.47388750486977, 37.754277797658354);['-8917603#2', '-8917603#0', '475457065', '-47174887#0', '475582895', '8922597', '89802442#0', '-47174887#2', '-475582889', '-255178163#0', '-475457004', '-8917603#1', '8917782', '-47174889#2', '-8917603#4'];['89802442#0_1', '475457065_0', '-8917603#4_0', '-47174887#0_0', '-8917603#1_0', '8917782_0', '89802442#0_2', '8922597_0', '-47174887#2_0', '-475457004_0', '-8917603#2_0', '-47174889#2_0', '-475582889_0', '-255178163#0_0', '-8917603#0_0', '89802442#0_0', '475582895_0'];8915944;8915944_0
170;[(-122.41532025436108, 37.754033650190706), (-122.41641354196993, 37.75396780816073), (-122.41656727030467, 37.75556813499849), (-122.41666470689698, 37.75659596183876), (-122.41671922040915, 37.75716643937102), (-122.41562587524903, 37.75723228300083), (-122.41454117276852, 37.757297975785455), (-122.41344608527172, 37.7573631450989), (-122.41234756034935, 37.757429733993824), (-122.41219746917454, 37.75583277793983), (-122.4120472430134, 37.7542303255919), (-122.41314054713669, 37.75416451374885), (-122.41423384915338, 37.75409868517613), (-122.41532025436108, 37.754033650190706)];(-122.41438200233323, 37.75569886020855);['-283535239#8', '-970790448#2', '-8920704#6', '-8916683#6', '-1122268844', '-970790500#4', '-8916683#7', '-970790500#2', '-8920704#7', '-970790500#0', '-970790468#3', '-970790448#0', '-970790448#4'];['-970790500#2_0', '-970790500#0_0', '-970790448#4_0', '-1122268844_0', '-8920704#6_0', '-8920704#7_0', '-8916683#6_0', '-970790468#3_0', '-1122268844_1', '-970790448#0_0', '-8916683#7_0', '-970790500#4_0', '-283535239#8_0', '-970790448#2_0'];-970790468#0;-970790468#0_0
171;[(-122.4111197609271, 37.75428657052626), (-122.41204724301282, 37.75423032559036), (-122.41219746917497, 37.75583277793958), (-122.41234756034835, 37.75742973399337), (-122.41142521243466, 37.757485215290146), (-122.41052703013783, 37.75753892223274), (-122.40958910278371, 37.757594641665285), (-122.40865120195754, 37.7576510368914), (-122.40775474728763, 37.757704694665215), (-122.40760132071215, 37.75610847157597), (-122.4074477313515, 37.7545060683758), (-122.40834243559023, 37.75445313257789), (-122.40925267041749, 37.75439855447278), (-122.41021988693703, 37.75434030458725), (-122.4111197609271, 37.75428657052626)];(-122.40989930129591, 37.75596758378324);['-283535239#8', '-8920704#6', '-8916683#6', '-8916683#3', '-8920704#1', '-8920704#4', '-8916683#2', '-8916683#1', '-8920704#5', '-8920704#2', '-8920704#3', '-8916683#5', '-8916683#4', '-283535239#1'];['-8916683#4_0', '-8920704#6_0', '-8916683#1_0', '-8920704#1_0', '-8916683#2_0', '-8916683#6_0', '-8916683#3_0', '-8916683#5_0', '-8920704#5_0', '-8920704#2_0', '-8920704#3_0', '-8920704#4_0', '-283535239#1_0', '-283535239#8_0'];-283535239#6;-283535239#6_0
172;[(-122.50767435975914, 37.754735984695735), (-122.50867995774657, 37.754691378536776), (-122.50883260681086, 37.75598604197555), (-122.50890324360451, 37.756551405301366), (-122.5078042876004, 37.75659897033059), (-122.5067364547962, 37.75664600394479), (-122.50566515898389, 37.75669307800399), (-122.5045938620439, 37.756740150836166), (-122.5035242936019, 37.75678718480196), (-122.50245126179416, 37.756834259092784), (-122.5023175173323, 37.75495279486091), (-122.50339279838494, 37.75492628018695), (-122.50446233034437, 37.75487856439151), (-122.50553359018977, 37.75483149428713), (-122.50660484228672, 37.7547837294611), (-122.50767435975914, 37.754735984695735)];(-122.50558602799208, 37.75576403280976);['-437536521#7', '-286265329#13', '-286265329#9', '-286265329#14', '-286265327#17', '-286265327#16', '-286265327#15', '-286265327#10', '-286265327#12', '-286265329#10', '-286265329#11', '-286265329#12', '-286265327#14', '-103635404#1', '-286265327#13'];['-286265329#12_0', '-286265329#14_0', '-103635404#1_0', '-286265327#16_0', '-286265327#13_0', '-286265327#15_0', '-286265327#10_0', '-286265329#9_0', '-286265327#14_0', '-286265329#13_0', '-286265329#10_0', '-437536521#7_0', '-286265329#11_0', '-286265327#17_0', '-286265327#12_0'];-437533749#2;-437533749#2_0
173;[(-122.43201550471662, 37.75624573903701), (-122.4323315789263, 37.756226824714524), (-122.43240757242577, 37.757020129762445), (-122.43243161958712, 37.757279321676194), (-122.43237956890654, 37.75740653151168), (-122.43238976683575, 37.75753272071067), (-122.43235725301444, 37.75761291675313), (-122.4322862719658, 37.75767726297152), (-122.43197940875551, 37.75785122689032), (-122.43056307983119, 37.75793692701694), (-122.43026772061123, 37.757954812390295), (-122.42804994127759, 37.758088632752134), (-122.4257665422899, 37.758226916856415), (-122.4256887796515, 37.75742951404934), (-122.42564596618455, 37.75697903035737), (-122.4256127346878, 37.7566314009792), (-122.42678723850452, 37.75656069626376), (-122.42711887414706, 37.75654085949168), (-122.427890920533, 37.75649389624741), (-122.4301155668252, 37.756359965606826), (-122.43177022289876, 37.756260057407026), (-122.43201550471662, 37.75624573903701)];(-122.4290231840118, 37.7572228420943);['677773330', '-32112476#1', '-133452336#2', '-110330888#4', '-32112476#0', '45570805', '-191297198', '-515521787#1', '-133452336#1', '-133452337', '147010716#2', '191010941#6', '-133452336#0', '-110330888#2', '-110330885#0', '8917180'];['-133452336#2_0', '147010716#2_0', '-110330885#0_0', '-110330888#2_0', '-133452336#1_0', '8917180_0', '677773330_0', '-515521787#1_0', '-110330888#4_0', '-32112476#0_0', '191010941#6_0', '-133452336#0_0', '45570805_0', '-191297198_0', '-32112476#1_0', '191010941#6_1', '-133452337_0'];8919001;8919001_0
174;[(-122.5012497788573, 37.75500251845343), (-122.50231751733247, 37.75495279486037), (-122.5024512617948, 37.75683425909114), (-122.50137479656206, 37.756882074135504), (-122.50030522575959, 37.75692907858561), (-122.49923390133863, 37.75697541109022), (-122.4981625962534, 37.75702242547115), (-122.49709128981607, 37.75706943011498), (-122.4960217116601, 37.75711638748764), (-122.49548607112646, 37.75714057151346), (-122.4953581548276, 37.75527616933603), (-122.49589721627729, 37.75525124262699), (-122.49695978703573, 37.755202338929486), (-122.49803099502293, 37.755152595475955), (-122.49910219927104, 37.75510283380811), (-122.50017340231341, 37.75505307091875), (-122.5012497788573, 37.75500251845343)];(-122.49890902013756, 37.75605093201394);['-437536521#7', '-286265327#7', '-286265327#4', '286265334#0', '-286265329#2', '-286265327#3', '-286265327#1', '-286265327#2', '-437536799#7', '-286265327#10', '-286265329#5', '-437537690#3', '-437538522#6', '-286265329#4', '-286265327#5', '286265337#0'];['-286265329#5_0', '286265334#0_1', '286265334#0_2', '-286265327#1_0', '-437537690#3_0', '-286265327#5_0', '-437536799#7_0', '286265334#0_0', '-286265327#2_0', '-286265327#10_0', '286265337#0_1', '-286265327#4_0', '-437538522#6_0', '-286265329#2_0', '-286265327#3_0', '-286265327#7_0', '-286265329#4_0', '286265337#0_2', '286265337#0_0', '-437536521#7_0'];-437538014#2;-437538014#2_0
175;[(-122.4926126844406, 37.75540159280563), (-122.49267488442943, 37.75539848365807), (-122.49280608449443, 37.757258708296696), (-122.49173650112591, 37.75730563502126), (-122.49066347499112, 37.75735329388757), (-122.48959215673845, 37.75740022189478), (-122.48851740659694, 37.757447888633926), (-122.4874495497501, 37.7574947475094), (-122.48638169874802, 37.75754227975736), (-122.48624721555785, 37.75568278954264), (-122.48696773913674, 37.75565073013017), (-122.48731502920056, 37.75563525867615), (-122.48762606137096, 37.75562177310912), (-122.48838632308771, 37.755588351082686), (-122.4894593255508, 37.75554071319955), (-122.48986365225814, 37.755522897074435), (-122.49053405799513, 37.75549302916581), (-122.49082434859062, 37.75548057604711), (-122.49160534780182, 37.755446092311885), (-122.4926126844406, 37.75540159280563)];(-122.48952752824239, 37.75647042649805);['-27092233#7', '-89802405#13', '-89802405#14', '-89802405#10', '-89802405#11', '-27092233#10', '-27092233#9', '-89802405#15', '-27092233#11', '-27092233#8', '-27092233#12', '-89802405#12', '-89802405#9', '-27092233#13'];['-27092233#7_0', '-27092233#13_0', '-27092233#9_0', '-27092233#12_0', '-89802405#12_0', '-89802405#10_0', '-27092233#10_0', '-27092233#8_0', '-89802405#15_0', '-27092233#11_0', '-89802405#14_0', '-89802405#13_0', '-89802405#9_0', '-89802405#11_0'];-437556516#2;-437556516#2_0
176;[(-122.41985747348468, 37.75536556401013), (-122.42096448841917, 37.75529464957014), (-122.42104071450026, 37.75610168706895), (-122.42111676494325, 37.75690186822133), (-122.42033778705115, 37.75694889989392), (-122.42001133915846, 37.75696863301276), (-122.41968835488365, 37.756988317323774), (-122.41984206980457, 37.75858521566269), (-122.41905269841659, 37.75863240782833), (-122.41796451660291, 37.75869818846932), (-122.41687288027069, 37.75876401521694), (-122.41678999253104, 37.75789802724241), (-122.4167192204095, 37.75716643937151), (-122.41666470689806, 37.756595961838904), (-122.41656727030578, 37.75556813499785), (-122.41765885818484, 37.75550230942613), (-122.41874700211613, 37.75543721486574), (-122.41985747348468, 37.75536556401013)];(-122.41861722917812, 37.75689475275018);['-514461306#0', '-1122268848', '-514456306#1', '8920908#0', '-1122268842#0', '-1122268844', '-286674338#0', '-286674338#1', '8917522#0', '-514456306#0', '1151616881#0', '-1122268842#2', '1175223870', '1172193246#0', '-970790468#3', '-970790448#4'];['8920908#0_0', '-1122268848_0', '-286674338#0_0', '-970790448#4_0', '-1122268844_0', '-1122268842#2_0', '-514461306#0_0', '-514456306#1_0', '-970790468#3_0', '-1122268844_1', '-1122268848_1', '-514456306#0_0', '1151616881#0_0', '-1122268842#0_0', '1172193246#0_0', '8917522#0_0', '1175223870_0', '-286674338#1_0'];-1122268846#3;-1122268846#3_0
177;[(-122.44626647722662, 37.75875408030925), (-122.44601999380164, 37.758722438210825), (-122.44586297134234, 37.758738079827886), (-122.44491115134598, 37.75832870174722), (-122.44456345181585, 37.75832963185302), (-122.44424688344144, 37.75826412222382), (-122.44414184042657, 37.758216411763115), (-122.44399471536151, 37.758147415702474), (-122.443781390393, 37.75819282909619), (-122.44339943122179, 37.758008213248914), (-122.44321576368839, 37.75779835557489), (-122.44320135924617, 37.75771068966511), (-122.44315871033868, 37.75766744045101), (-122.44300362915217, 37.75749282326462), (-122.44291540061538, 37.75736036424655), (-122.4428219875607, 37.75722798925615), (-122.44261897788101, 37.75694016178327), (-122.44252447351559, 37.75683252700076), (-122.44233917823874, 37.7566927351747), (-122.44224116106075, 37.75664903097823), (-122.44222714527868, 37.756642388837875), (-122.4422720774552, 37.7565743505673), (-122.44318876227275, 37.756038698016226), (-122.44327689375356, 37.75623364883742), (-122.44338341666862, 37.75633765200438), (-122.44393281105731, 37.756706979630366), (-122.44469540068076, 37.75722387182885), (-122.44481208007058, 37.757253533563436), (-122.4449648245746, 37.7572729925941), (-122.4449784591508, 37.757199287219116), (-122.44531470033768, 37.75656262881908), (-122.44564560714957, 37.7564493492989), (-122.4459456704213, 37.75641349024729), (-122.44695089454021, 37.75655071713467), (-122.44703236478603, 37.756755391288756), (-122.44711853897368, 37.756874833866995), (-122.44716812051752, 37.75691864921502), (-122.44730627522269, 37.75704135793055), (-122.44754716780496, 37.75718983054461), (-122.44770693800466, 37.75734514133955), (-122.44781797983477, 37.75748957809611), (-122.44791574747663, 37.757589596894434), (-122.44803471485636, 37.75770643908931), (-122.4481820747423, 37.75785028235901), (-122.44760882907572, 37.75758899425541), (-122.44730260983793, 37.75789159485608), (-122.44703667065056, 37.75817343311256), (-122.44677243288538, 37.75845454901476), (-122.44639542235319, 37.7588556445945), (-122.44626647722662, 37.75875408030925)];(-122.44520047459808, 37.75745209137007);['8917156', '694605192#0', '-27028678#3', '8916840#0', '917310150', '157018878#0', '27028678#2', '32004542#1', '133735880#0', '-133735880#0', '32004542#0', '-162931668', '-32004542#1', '45584119', '157018877#0', '-27028678#0', '8917050', '-157018877#1'];['133735880#0_0', '8916840#0_0', '694605192#0_1', '45584119_0', '157018878#0_1', '-32004542#1_0', '157018878#0_0', '32004542#1_0', '-27028678#0_0', '-157018877#1_0', '27028678#2_0', '-162931668_0', '32004542#0_0', '-27028678#3_0', '917310150_0', '8917156_0', '157018877#0_0', '8917050_0', '-133735880#0_0', '694605192#0_0'];-32004542#0;-32004542#0_0
178;[(-122.4403814645364, 37.75903241420189), (-122.44009637228562, 37.7589794242781), (-122.43916690691277, 37.759027681626264), (-122.43911409341632, 37.75846268293636), (-122.43907729800014, 37.75791458597391), (-122.43907402551446, 37.75785558096428), (-122.43906948136043, 37.75781376248092), (-122.43903312923648, 37.757415368651905), (-122.43900213817827, 37.757089683423914), (-122.4389761537256, 37.75702212122812), (-122.43892730066827, 37.75647559677473), (-122.43884019479519, 37.75552453525495), (-122.43885441865145, 37.755472792067486), (-122.43886377172744, 37.75543349434247), (-122.43897332819851, 37.75538911358855), (-122.43964789630246, 37.75531963936687), (-122.44003301855146, 37.75522883724729), (-122.44034437842663, 37.75522782798999), (-122.44044912015531, 37.7550654100681), (-122.44089776906102, 37.75449283744097), (-122.44107638373201, 37.75417880709801), (-122.44116229155505, 37.75409017214668), (-122.44130728990687, 37.753879704767385), (-122.44150208605213, 37.75372129320546), (-122.44180691802366, 37.75347110714648), (-122.44188719495887, 37.75336539905156), (-122.44205592929126, 37.75307076117811), (-122.4422399100635, 37.75282942995647), (-122.44249183340045, 37.752606901004896), (-122.44251666627609, 37.75243205876447), (-122.44252394624397, 37.752379746071995), (-122.44277473693583, 37.752378361400766), (-122.44298302020788, 37.75154534699988), (-122.44318380426544, 37.750756416371665), (-122.44335811079618, 37.75007984739942), (-122.44344227557099, 37.75005717007968), (-122.443608821823, 37.75007571272099), (-122.44367233923545, 37.750123424723604), (-122.44397008130355, 37.750462572510116), (-122.44407034917768, 37.75065869831499), (-122.4440179848719, 37.75083879380963), (-122.44389818219577, 37.751152551257164), (-122.4436927726459, 37.75156592204436), (-122.44354837812963, 37.751799044384), (-122.443490200205, 37.75188928300947), (-122.4434618798265, 37.75199687664427), (-122.44349825045583, 37.752130873947486), (-122.44361022957027, 37.752311700443926), (-122.44371865648098, 37.75248915366826), (-122.4437729548657, 37.7526468928626), (-122.44376174177225, 37.75274733951405), (-122.44464030949686, 37.75313664539341), (-122.44461085709852, 37.75320099749732), (-122.44437334281477, 37.753379349374896), (-122.44430017946644, 37.75362434638027), (-122.44426102641857, 37.753912734667004), (-122.44409195409774, 37.754128408714976), (-122.44406364696088, 37.75417077035922), (-122.44400216758967, 37.75426723766219), (-122.44396562710735, 37.75445737985015), (-122.44400246846129, 37.75460923257009), (-122.44418608705547, 37.75501549526175), (-122.44420896762037, 37.755162762555834), (-122.444218258414, 37.75558358145166), (-122.4442389407698, 37.755911501796746), (-122.44434266399456, 37.75617281042076), (-122.44446253934841, 37.75632466133025), (-122.44454485937635, 37.756429746225855), (-122.44476271783823, 37.75655731568254), (-122.44502536846882, 37.75661204027367), (-122.44528211524435, 37.7565734646646), (-122.44531470034036, 37.75656262882192), (-122.44497845914951, 37.75719928721967), (-122.44496482457488, 37.757272992596484), (-122.44481208007048, 37.757253533562036), (-122.44469540067911, 37.75722387183046), (-122.44393281105862, 37.7567069796318), (-122.4433834166682, 37.75633765200701), (-122.44327689375027, 37.756233648838), (-122.44318876227291, 37.75603869801491), (-122.44227207745284, 37.75657435056948), (-122.44222714527714, 37.7566423888387), (-122.44224116106417, 37.75664903097588), (-122.44228629451476, 37.75685361643028), (-122.44237113624517, 37.75758427889432), (-122.44228064223218, 37.75762972264212), (-122.44225740957798, 37.75773379912439), (-122.44223767099494, 37.75810358699929), (-122.44220862587439, 37.7585147383172), (-122.4421647256796, 37.758754443929156), (-122.44217475418263, 37.75893969419658), (-122.44103479535679, 37.7590092909612), (-122.44079819606638, 37.75902486917935), (-122.44059102789309, 37.75904132783441), (-122.4403814645364, 37.75903241420189)];(-122.44183811602524, 37.75561511316087);['278713841', '-27028705#4', '27028705#5', '27028605', '32004542#1', '254971072', '254759974#3', '-8916840#2', '8921489', '-27028678#3', '-255170273#0', '133743883', '514591450', '133743911', '254759974#2', '-8916840#1', '-196816082', '8916840#0', '-255170241#2', '27028678#2', '8918914', '-255170241#1', '8919720', '32004542#0', '-32004542#1', '27028678#4', '8916840#2', '255170240', '694605192#0', '8916460', '8919546#1', '-8916896', '-254759974#3', '-286514942#0'];['27028605_0', '8916840#0_0', '133743883_0', '278713841_0', '694605192#0_1', '254759974#2_0', '-8916840#1_0', '-27028705#4_0', '-8916840#2_0', '-32004542#1_0', '-254759974#3_0', '514591450_1', '32004542#1_0', '8918914_0', '-255170273#0_0', '27028678#2_0', '8919720_0', '-286514942#0_0', '32004542#0_0', '8916840#2_0', '-27028678#3_0', '514591450_0', '8921489_1', '133743911_0', '254971072_0', '27028705#5_0', '255170240_0', '27028678#4_0', '8921489_0', '-255170241#1_0', '254759974#3_0', '-8916896_0', '8919546#1_0', '-255170241#2_0', '8916460_0', '694605192#0_0', '-196816082_0'];694605192#0;694605192#0_0
179;[(-122.43703895261298, 37.75915744348211), (-122.4368864988886, 37.757556425473865), (-122.4358087411834, 37.75762289229075), (-122.43469804747208, 37.75768644797943), (-122.4346218681626, 37.75688697450065), (-122.43454583321902, 37.75609298194851), (-122.43467080414375, 37.7561087850575), (-122.4348072070506, 37.75609898901921), (-122.43564123397995, 37.75604065823262), (-122.43674295379076, 37.755965558800334), (-122.43780320981827, 37.75589250619003), (-122.43779812045553, 37.755830097898254), (-122.43776981455954, 37.75554076373672), (-122.43820463331565, 37.75549790288314), (-122.43886377173108, 37.75543349434426), (-122.4388544186511, 37.75547279206682), (-122.43884019479601, 37.75552453525533), (-122.4389273006683, 37.75647559677491), (-122.43897615372411, 37.75702212122898), (-122.4390021381817, 37.75708968342378), (-122.43903312923862, 37.75741536865295), (-122.43906948136306, 37.757813762482705), (-122.43907402551179, 37.757855580965014), (-122.4390772979986, 37.757914585972436), (-122.43911409341857, 37.758462682936724), (-122.43916690691492, 37.75902768162666), (-122.43811157376983, 37.759092425915554), (-122.43703895261298, 37.75915744348211)];(-122.43724475203466, 37.757211443798596);['46944762', '-27028705#4', '-133452336#3', '254759974#0', '-254971073#0', '27028605', '27028705#5', '-133735882#2', '-8920905#1', '-27028605', '-46944761#0', '254971072', '-254971063#1', '-254971073#1', '254759974#2', '-45570805'];['-46944761#0_0', '27028705#5_0', '27028605_0', '-254971073#1_0', '-133735882#2_0', '46944762_0', '-27028605_0', '-133452336#3_0', '254759974#0_0', '-8920905#1_0', '-45570805_0', '254759974#2_0', '-27028705#4_0', '-254971063#1_0', '-254971073#0_0', '254971072_0'];91011088#4;91011088#4_0
