vehicle_id;origin_edge_id;origin_taz_id;destination_edge_id;destination_taz_id;origin_starting_time
168;28572356;99;-155373677#6;102;2021-06-25 20:00:25
169;-619979101;684;-224200970;687;2021-06-25 20:00:25
170;-204884387#1;742;397144265#0;743;2021-06-25 20:00:25
171;-224373759#1;6;224373759#0;6;2021-06-25 20:00:25
172;8922234#0;725;1158606267#0;722;2021-06-25 20:00:25
173;8917309;521;394691482;519;2021-06-25 20:00:26
174;532065713#0;924;1120887426;925;2021-06-25 20:00:26
175;8918853;688;997349781#0;687;2021-06-25 20:00:26
176;475767102;709;980893267#1;708;2021-06-25 20:00:26
177;980893267#1;708;406581246;707;2021-06-25 20:00:26
178;364480068#0;942;706543478#0;939;2021-06-25 20:00:27
179;680783343#0;406;1154171396;403;2021-06-25 20:00:27
180;-254396717#2;709;406581245;712;2021-06-25 20:00:27
181;513659775;675;224199023#0;675;2021-06-25 20:00:27
182;414359349#0;406;619568426#1;403;2021-06-25 20:00:27
183;514604867;830;997431145;829;2021-06-25 20:00:27
184;414359349#0;406;283527464#0;406;2021-06-25 20:00:27
185;-680243317;729;736592136;730;2021-06-25 20:00:28
186;E39.13;621;417087300#0;622;2021-06-25 20:00:28
187;254299125#0;852;-505761791#1;853;2021-06-25 20:00:28
188;8939343#2;2;-8916866#2;1;2021-06-25 20:00:28
189;27145835#1;46;-255178162#3;49;2021-06-25 20:00:28
190;8918853;688;-397065307;688;2021-06-25 20:00:28
191;680783343#0;406;-396983902#1;408;2021-06-25 20:00:28
192;286265341#0;155;254299728#3;158;2021-06-25 20:00:28
193;502795938#0;339;398677931#0;336;2021-06-25 20:00:28
194;-254982297#1;124;311430145#3;122;2021-06-25 20:00:29
195;1084290107#0;853;-254299125#2;852;2021-06-25 20:00:29
196;364480068#0;942;254396719#0;945;2021-06-25 20:00:29
197;24280144#0;649;-681882573#1;652;2021-06-25 20:00:29
198;398675753#0;318;968937452#0;319;2021-06-25 20:00:30
199;286117612;890;28694363;888;2021-06-25 20:00:30
200;162931670#0;109;-255351713#1;109;2021-06-25 20:00:30
201;-682768769;492;30516559#2;490;2021-06-25 20:00:30
202;-26131595#2;291;-396964587#1;288;2021-06-25 20:00:30
203;89802447#0;168;133743881;167;2021-06-25 20:00:31
204;255178136#1;16;469105571#0;15;2021-06-25 20:00:31
205;680783343#0;406;27019884#1;409;2021-06-25 20:00:32
206;285975137#2;48;-255178162#2;49;2021-06-25 20:00:32
207;717375293#0;359;416878321#3;357;2021-06-25 20:00:32
208;417386929;274;133781784;272;2021-06-25 20:00:32
209;414359349#0;406;145486781#2;407;2021-06-25 20:00:32
210;-133748358;4;789153220;3;2021-06-25 20:00:32
211;27023069#0;491;-397084138#3;489;2021-06-25 20:00:32
212;254758118#2;134;254750816;135;2021-06-25 20:00:32
213;414359349#0;406;983283669;409;2021-06-25 20:00:32
214;162799061#3;584;417390290#2;582;2021-06-25 20:00:32
215;224384016#0;342;-212214144#6;343;2021-06-25 20:00:32
216;-133781756#2;283;396959899;285;2021-06-25 20:00:32
217;204884387#0;938;224316513#0;941;2021-06-25 20:00:33
218;254305033#3;600;27029265#3;597;2021-06-25 20:00:33
219;254750820#2;205;254750820#1;205;2021-06-25 20:00:33
220;414359349#0;406;-8918887#4;408;2021-06-25 20:00:33
221;364480068#0;942;1030276936#0;945;2021-06-25 20:00:34
222;619568414;429;679788132#1;429;2021-06-25 20:00:34
223;929544134;79;-306788546;77;2021-06-25 20:00:34
224;225516700#0;335;26988009#0;334;2021-06-25 20:00:34
225;678038618;46;1022562751;43;2021-06-25 20:00:34
226;254305033#4;600;27029246#0;597;2021-06-25 20:00:34
227;437533747;206;254750820#2;205;2021-06-25 20:00:34
