timestamp;vehicle_id;longitude;latitude;heading;avg_speed
2021-01-01T00:00:21.000;5877;-122,446815;37,784184;345;0
2021-01-01T00:00:21.000;1405;-122,447037;37,722004;0;0
2021-01-01T00:00:21.000;1486;-122,384239;37,752178;0;0
2021-01-01T00:00:21.000;2002;-122,386032;37,752804;255;0
2021-01-01T00:00:21.000;8821;-122,391426;37,756927;165;0
2021-01-01T00:00:21.000;2012;-122,385719;37,751579;180;0
2021-01-01T00:00:22.000;2052;-122,446999;37,721638;0;0
2021-01-01T00:00:22.000;2019;-122,38475;37,752705;0;0
2021-01-01T00:00:22.000;7246;-122,409737;37,763695;345;0
2021-01-01T00:00:22.000;8766;-122,411072;37,807598;165;0
2021-01-01T00:00:22.000;8875;-122,440544;37,761032;90;24
2021-01-01T00:00:22.000;2005;-122,446671;37,722439;0;0
2021-01-01T00:00:22.000;1437;-122,384399;37,751934;0;0
2021-01-01T00:00:22.000;7281;-122,418243;37,748749;165;2
2021-01-01T00:00:23.000;1519;-122,384476;37,751804;0;0
2021-01-01T00:00:23.000;2023;-122,446922;37,722046;0;0
2021-01-01T00:00:23.000;1427;-122,384224;37,752483;0;0
2021-01-01T00:00:23.000;2039;-122,446587;37,722382;0;0
2021-01-01T00:00:23.000;5844;-122,446777;37,784039;0;0
2021-01-01T00:00:24.000;5804;-122,446548;37,784206;345;0
2021-01-01T00:00:24.000;1420;-122,384613;37,752335;0;0
2021-01-01T00:00:24.000;1420;-122,384613;37,752335;0;0
2021-01-01T00:00:25.000;8897;-122,394989;37,794216;45;0
2021-01-01T00:00:25.000;2044;-122,446793;37,72171;210;0
2021-01-01T00:00:25.000;2055;-122,446831;37,722088;0;0
2021-01-01T00:00:25.000;8622;-122,482063;37,779987;255;19
2021-01-01T00:00:25.000;2041;-122,384644;37,751678;0;0
2021-01-01T00:00:25.000;2016;-122,446823;37,722061;180;0
2021-01-01T00:00:26.000;7211;-122,460449;37,706245;60;0
2021-01-01T00:00:26.000;1550;-122,384476;37,751678;0;0
2021-01-01T00:00:26.000;8626;-122,385017;37,741001;120;3
2021-01-01T00:00:26.000;5880;-122,446602;37,784695;0;0
2021-01-01T00:00:26.000;1504;-122,384224;37,752728;0;0
2021-01-01T00:00:26.000;1483;-122,446938;37,722168;210;0
2021-01-01T00:00:26.000;2062;-122,384857;37,752327;0;0
2021-01-01T00:00:26.000;1550;-122,384476;37,751678;0;0
2021-01-01T00:00:26.000;2056;-122,384865;37,75172;0;0
2021-01-01T00:00:26.000;8647;-122,391724;37,756302;0;0
2021-01-01T00:00:27.000;5736;-122,40995;37,763741;150;0
2021-01-01T00:00:27.000;8809;-122,428444;37,768101;225;0
2021-01-01T00:00:28.000;8842;-122,458603;37,724434;270;23
2021-01-01T00:00:28.000;7213;-122,409645;37,763683;345;0
2021-01-01T00:00:28.000;8731;-122,390587;37,756939;90;0
2021-01-01T00:00:28.000;1515;-122,384514;37,752316;0;0
2021-01-01T00:00:28.000;7210;-122,408707;37,763416;165;0
2021-01-01T00:00:28.000;5882;-122,44651;37,784222;0;0
2021-01-01T00:00:28.000;8613;-122,391617;37,757145;0;0
2021-01-01T00:00:28.000;8840;-122,396141;37,789978;45;0
2021-01-01T00:00:28.000;7252;-122,409576;37,763329;345;0
2021-01-01T00:00:28.000;8846;-122,413864;37,77169;120;21
2021-01-01T00:00:29.000;8762;-122,411591;37,807335;75;0
2021-01-01T00:00:29.000;1531;-122,384468;37,752434;0;0
2021-01-01T00:00:29.000;8659;-122,389465;37,757095;90;0
2021-01-01T00:00:29.000;1475;-122,447014;37,721802;0;0
2021-01-01T00:00:30.000;2063;-122,384712;37,751755;0;0
2021-01-01T00:00:30.000;5821;-122,446625;37,784996;90;0
2021-01-01T00:00:30.000;1436;-122,384552;37,751957;0;0
