mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,difference_pickup,difference_dropoff
social_groups_1,21062508_21062520,186808,119378,119359,177500,116178,116210,4.98,2.68,2.64,2618,0.49,0.44,582,531
social_groups_1,21062520_21062521,14716,15829,15835,12304,13688,13692,16.39,13.53,13.53,2105,0.23,0.24,36,38
social_groups_1,21062520_21062523,35240,45341,45322,29291,43370,43376,16.88,4.35,4.29,1848,0.27,0.22,123,98
social_groups_1,21062520_21062602,61157,84455,84454,43386,81647,81668,29.06,3.32,3.3,2397,0.49,0.46,411,389
social_groups_1,21062520_21062608,155191,99868,99848,125714,97309,97335,18.99,2.56,2.52,2302,0.26,0.21,257,211
social_groups_1,21062708_21062709,37607,3423,3429,32355,2450,2452,13.97,28.43,28.49,969,0.12,0.23,4,8
social_groups_1,21062708_21062711,121361,14758,14786,106392,12898,12900,12.33,12.6,12.76,1856,0.03,0.2,4,30
social_groups_1,21062708_21062714,256515,37323,37366,225813,35227,35239,11.97,5.62,5.69,2011,0.23,0.31,85,116
social_groups_1,21062708_21062720,487505,90065,90123,429338,87643,87672,11.93,2.69,2.72,2260,0.18,0.21,162,191
social_groups_1,21062720_21062721,31320,7631,7624,24030,6873,6874,23.28,9.93,9.84,730,0.37,0.26,28,20
social_groups_1,21062720_21062723,82554,20676,20671,60514,19644,19649,26.7,4.99,4.94,982,0.24,0.19,50,40
social_groups_1,21062720_21062802,122837,27909,27912,79412,27079,27085,35.35,2.97,2.96,768,0.22,0.21,62,59
social_groups_1,21062720_21062808,274218,41386,41344,209082,40160,40164,23.75,2.96,2.85,1093,0.32,0.21,133,87
social_groups_1,21100608_21100609,60583,9660,9662,53065,7394,7395,12.41,23.46,23.46,2227,0.4,0.41,39,40
social_groups_1,21100608_21100611,184538,25666,25701,166867,22689,22702,9.58,11.6,11.67,2906,0.28,0.36,71,93
social_groups_1,21100608_21100614,366281,45475,45522,336323,42543,42550,8.18,6.45,6.53,2783,0.33,0.42,149,189
social_groups_1,21100608_21100620,701441,109363,109427,657576,105917,105948,6.25,3.15,3.18,3012,0.4,0.43,434,467
social_groups_1,21100620_21100621,43360,12084,12094,36391,10634,10638,16.07,12.0,12.04,1432,0.15,0.2,18,24
social_groups_1,21100620_21100623,111345,33562,33594,95577,31789,31793,14.16,5.28,5.36,1737,0.11,0.19,36,64
social_groups_1,21100620_21100702,175555,49972,50046,142173,48412,48415,19.02,3.12,3.26,1522,0.08,0.22,38,109
social_groups_1,21100620_21100708,357374,67114,67218,293807,65039,65053,17.79,3.09,3.22,2002,0.11,0.24,73,163
social_groups_1,21100808_21100809,59222,9714,9695,51492,7438,7439,13.05,23.43,23.27,2231,0.46,0.26,45,25
social_groups_1,21100808_21100811,185427,27096,27078,164567,23648,23652,11.25,12.73,12.65,3242,0.76,0.68,206,184
social_groups_1,21100808_21100814,367193,48296,48277,330100,44952,44965,10.1,6.92,6.86,3102,0.5,0.43,242,210
social_groups_1,21100808_21100820,721009,119378,119359,673012,115350,115373,6.66,3.37,3.34,3123,0.76,0.72,905,863
social_groups_1,21100820_21100821,45979,15829,15835,38568,13384,13384,16.12,15.45,15.48,2412,0.21,0.25,33,39
social_groups_1,21100820_21100823,129778,45341,45322,110810,42394,42403,14.62,6.5,6.44,2782,0.36,0.3,165,137
social_groups_1,21100820_21100902,192505,84455,84454,156945,81206,81218,18.47,3.85,3.83,2940,0.37,0.35,309,296
social_groups_1,21100820_21100908,321579,99868,99848,258938,96720,96738,19.48,3.15,3.11,2821,0.33,0.29,327,289
social_groups_1,21101008_21101009,40097,3423,3429,33616,2519,2519,16.16,26.41,26.54,897,0.2,0.38,7,13
social_groups_1,21101008_21101011,128141,14758,14786,112778,12729,12733,11.99,13.75,13.88,2019,0.07,0.23,10,34
social_groups_1,21101008_21101014,261957,37323,37366,234204,34885,34891,10.59,6.53,6.62,2385,0.14,0.24,53,90
social_groups_1,21101008_21101020,525699,90065,90123,475936,87314,87323,9.47,3.05,3.11,2568,0.2,0.26,183,232
social_groups_1,21101020_21101021,36216,7631,7624,29948,6649,6650,17.31,12.87,12.78,949,0.43,0.33,33,25
social_groups_1,21101020_21101023,97323,20676,20671,79584,19794,19798,18.23,4.27,4.22,841,0.2,0.15,41,32
social_groups_1,21101020_21101102,145559,27909,27912,109910,26952,26958,24.49,3.43,3.42,887,0.25,0.24,70,67
social_groups_1,21101020_21101108,314998,41386,41344,256115,39885,39893,18.69,3.63,3.51,1342,0.38,0.26,159,109
social_groups_1,21111008_21111009,55824,9660,9662,48121,7448,7449,13.8,22.9,22.9,2189,0.24,0.25,23,24
social_groups_1,21111008_21111011,173277,25666,25701,155798,22979,22987,10.09,10.47,10.56,2647,0.16,0.26,40,67
social_groups_1,21111008_21111014,348953,45475,45522,317401,42736,42745,9.04,6.02,6.1,2627,0.25,0.33,112,150
social_groups_1,21111008_21111020,697008,109363,109427,645473,106359,106393,7.39,2.75,2.77,2695,0.28,0.31,309,339
social_groups_1,21111020_21111021,44113,12084,12094,36744,10736,10736,16.7,11.16,11.23,1340,0.07,0.15,8,18
